date,open,high,low,close,adjusted_close,volume
2022-03-01,1908.195,1950.455,1900.9301,1943.219,1943.219,273
2022-03-02,1943.695,1948.1751,1913.8225,1926.1108,1926.1108,196
2022-03-03,1926.495,1941.475,1921.735,1935.21,1935.21,121
2022-03-04,1935.645,1970.8001,1929.775,1968.4535,1968.4535,228
2022-03-07,1977.095,2002.9,1960.76,1998.11,1998.11,230
2022-03-08,1998.295,2070.2949,1981.0001,2052.4099,2052.4099,451
2022-03-09,2052.7451,2059.2451,1976.295,1991.49,1991.49,422
2022-03-10,1991.945,2009.575,1970.6569,1995.8586,1995.8586,213
2022-03-11,1996.145,1999.2229,1958.795,1985.2885,1985.2885,222
2022-03-14,1985.495,1990.33,1949.8748,1951.115,1951.115,223
2022-03-15,1951.0155,1954.955,1906.73,1917.8427,1917.8427,266
2022-03-16,1918.0951,1929.87,1895.2236,1927.9292,1927.9292,199
2022-03-17,1927.5601,1950.1,1923.395,1942.64,1942.64,156
2022-03-18,1942.9,1945.505,1917.9301,1921.087,1921.087,161
2022-03-21,1922.245,1940.695,1918.01,1935.9524,1935.9524,136
2022-03-22,1935.865,1938.59,1910.89,1921.4417,1921.4417,162
2022-03-23,1922.355,1948.545,1915.3245,1943.3809,1943.3809,190
2022-03-24,1944.88,1966.195,1937.1751,1957.48,1957.48,167
2022-03-25,1957.49,1964.49,1943.545,1957.4,1957.4,126
2022-03-28,1958.75,1959.3596,1916.83,1923.2025,1923.2025,237
2022-03-29,1922.955,1929.405,1890.03,1919.1851,1919.1851,224
2022-03-30,1920.0699,1938.53,1915.74,1933.0594,1933.0594,137
2022-03-31,1932.795,1949.915,1918.98,1937.23,1937.23,178
2022-04-01,1937.505,1939.9876,1917.5551,1924.3001,1924.3001,135
2022-04-04,1924.945,1937.05,1915.545,1932.4391,1932.4391,131
2022-04-05,1933.375,1944.73,1917.74,1923.7575,1923.7575,158
2022-04-06,1923.6901,1933.645,1915.245,1925.4808,1925.4808,115
2022-04-07,1925.325,1938.075,1920.27,1932.1741,1932.1741,111
2022-04-08,1931.9249,1948.4553,1927.375,1945.85,1945.85,128
2022-04-11,1947.145,1969.405,1940.045,1953.4324,1953.4324,169
2022-04-12,1953.995,1978.6255,1949.48,1966.59,1966.59,167
2022-04-13,1967.215,1981.825,1962.59,1977.7228,1977.7228,117
2022-04-14,1977.7795,1980.8101,1960.895,1973.5195,1973.5195,120
2022-04-15,1974.28,1975.6919,1973.0525,1974.5359,1974.5359,33
2022-04-18,1972.845,1998.6,1971.045,1978.4967,1978.4967,157
2022-04-19,1979.195,1982.3051,1943.795,1949.84,1949.84,214
2022-04-20,1950.345,1958.57,1939.155,1957.405,1957.405,119
2022-04-21,1957.84,1958.0,1936.785,1951.495,1951.495,128
2022-04-22,1951.495,1955.9251,1926.515,1929.73,1929.73,170
2022-04-25,1931.095,1934.7086,1891.05,1897.6925,1897.6925,245
2022-04-26,1897.955,1911.5,1895.38,1905.5576,1905.5576,104
2022-04-27,1905.455,1907.2521,1881.39,1886.1154,1886.1154,155
2022-04-28,1886.14,1897.32,1872.195,1894.3423,1894.3423,152
2022-04-29,1894.4301,1919.975,1892.2466,1896.3959,1896.3959,164
2022-05-02,1896.095,1900.105,1854.745,1862.7676,1862.7676,258
2022-05-03,1863.05,1878.1851,1850.33,1867.785,1867.785,168
2022-05-04,1868.035,1889.745,1861.17,1880.9229,1880.9229,171
2022-05-05,1881.47,1910.03,1872.48,1876.8408,1876.8408,216
2022-05-06,1877.295,1892.9251,1865.845,1882.9565,1882.9565,163
2022-05-09,1883.795,1885.955,1851.36,1853.9207,1853.9207,203
2022-05-10,1853.74,1865.76,1835.46,1838.1431,1838.1431,182
2022-05-11,1838.405,1857.995,1831.8328,1852.1202,1852.1202,160
2022-05-12,1852.58,1859.295,1820.9301,1821.72,1821.72,226
2022-05-13,1822.48,1829.0601,1799.245,1811.1544,1811.1544,183
